codigo_montante_newave;nome_montante_newave;id_montante_cobre;nome_montante_cobre;codigo_jusante_newave;nome_jusante_newave;id_jusante_cobre_esperado;id_jusante_cobre_encontrado;nome_jusante_cobre_encontrado;codigo_canal_desvio_newave;nome_canal_desvio_newave;id_canal_desvio_cobre_esperado;id_canal_desvio_cobre_encontrado;nome_canal_desvio_cobre_encontrado;resultado_cascata;resultado_canal_desvio;resultado;detalhe
73;JORDAO;50;JORDAO;77;SLT.SANTIAGO;53;53;SLT.SANTIAGO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação JORDAO → SLT.SANTIAGO coincide nos dois modelos.
76;SEGREDO;52;SEGREDO;77;SLT.SANTIAGO;53;53;SLT.SANTIAGO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SEGREDO → SLT.SANTIAGO coincide nos dois modelos.
77;SLT.SANTIAGO;53;SLT.SANTIAGO;78;SALTO OSORIO;54;54;SALTO OSORIO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SLT.SANTIAGO → SALTO OSORIO coincide nos dois modelos.
78;SALTO OSORIO;54;SALTO OSORIO;82;SALTO CAXIAS;55;55;SALTO CAXIAS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SALTO OSORIO → SALTO CAXIAS coincide nos dois modelos.
82;SALTO CAXIAS;55;SALTO CAXIAS;83;BAIXO IGUACU;56;56;BAIXO IGUACU;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SALTO CAXIAS → BAIXO IGUACU coincide nos dois modelos.
169;SOBRADINHO;108;SOBRADINHO;172;ITAPARICA;109;109;ITAPARICA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SOBRADINHO → ITAPARICA coincide nos dois modelos.
172;ITAPARICA;109;ITAPARICA;176;COMP PAF-MOX;110;110;COMP PAF-MOX;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ITAPARICA → COMP PAF-MOX coincide nos dois modelos.
176;COMP PAF-MOX;110;COMP PAF-MOX;178;XINGO;111;111;XINGO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação COMP PAF-MOX → XINGO coincide nos dois modelos.
178;XINGO;111;XINGO;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
154;ITAPEBI;104;ITAPEBI;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
